#Organism/Name,Strain,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Helicobacter pylori","381-F-EK9",SAMN10053787,PRJNA490474,"Proteobacteria","delta/epsilon subdivisions",GCA_006337305.1,1.58096,39.1,chromosome:NZ_CP032475.1/CP032475.1,-,1,1570,1412,2019/06/13,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/305/GCF_006337305.1_ASM633730v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/305/GCA_006337305.1_ASM633730v1
"Helicobacter pylori","381-A-EK4",SAMN10053762,PRJNA490474,"Proteobacteria","delta/epsilon subdivisions",GCA_006337445.1,1.57943,39.1,chromosome:NZ_CP032901.1/CP032901.1,-,1,1571,1416,2019/06/13,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/445/GCF_006337445.1_ASM633744v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/445/GCA_006337445.1_ASM633744v1
"Helicobacter pylori F32","F32",SAMD00060973,PRJDA50593,"Proteobacteria","delta/epsilon subdivisions",GCA_000270045.1,1.58146,38.8963,chromosome:NC_017366.1/AP011943.1; plasmid pHPF32:NC_017370.1/AP011944.1,-,2,1573,1434,2011/01/07,2019/08/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/045/GCF_000270045.1_ASM27004v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/045/GCA_000270045.1_ASM27004v1
"Helicobacter pylori","HPJP26",SAMN07661065,PRJNA384245,"Proteobacteria","delta/epsilon subdivisions",GCA_002356595.1,1.57835,38.9,chromosome:NZ_CP023448.1/CP023448.1,-,1,1571,1383,2017/09/25,2019/02/01,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/595/GCF_002356595.1_ASM235659v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/595/GCA_002356595.1_ASM235659v1
"Helicobacter pylori B38","B38",SAMEA3138296,PRJNA39685,"Proteobacteria","delta/epsilon subdivisions",GCA_000091345.1,1.57676,39.2,chromosome:NC_012973.1/FM991728.1,-,1,1570,1421,2009/07/15,2019/08/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/345/GCF_000091345.1_ASM9134v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/345/GCA_000091345.1_ASM9134v1
"Helicobacter pylori","G272",SAMN07338981,PRJNA393647,"Proteobacteria","delta/epsilon subdivisions",GCA_002222575.1,1.58487,38.8746,chromosome:NZ_CP022409.1/CP022409.1; plasmid unnamed1:NZ_CP022410.1/CP022410.1,-,2,1568,1401,2017/07/20,2017/07/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/575/GCF_002222575.1_ASM222257v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/222/575/GCA_002222575.1_ASM222257v1
"Helicobacter pylori F16","F16",SAMD00060971,PRJDA50589,"Proteobacteria","delta/epsilon subdivisions",GCA_000270005.1,1.5754,38.9,chromosome:NC_017368.1/AP011940.1,-,1,1564,1411,2011/01/07,2019/08/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/005/GCF_000270005.1_ASM27000v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/005/GCA_000270005.1_ASM27000v1
"Helicobacter pylori F30","F30",SAMD00060972,PRJDA50591,"Proteobacteria","delta/epsilon subdivisions",GCA_000270025.1,1.57969,38.7728,chromosome:NC_017365.1/AP011941.1; plasmid pHPF30:NC_017369.1/AP011942.1,-,2,1571,1430,2011/01/07,2019/08/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/025/GCF_000270025.1_ASM27002v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/025/GCA_000270025.1_ASM27002v1
"Helicobacter pylori","K26A1",SAMN02731784,PRJNA245115,"Proteobacteria","delta/epsilon subdivisions",GCA_001653455.1,1.57031,38.7,chromosome:NZ_CP011486.1/CP011486.1,-,1,1528,1375,2016/05/27,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/455/GCF_001653455.1_ASM165345v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/653/455/GCA_001653455.1_ASM165345v1
"Helicobacter pylori 52","52",SAMN02603357,PRJNA39507,"Proteobacteria","delta/epsilon subdivisions",GCA_000023805.1,1.56883,38.9,chromosome:NC_017354.1/CP001680.1,-,1,1549,1390,2009/10/21,2017/03/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/805/GCF_000023805.1_ASM2380v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/805/GCA_000023805.1_ASM2380v1
"Helicobacter pylori 35A","35A",SAMN02299423,PRJNA34603,"Proteobacteria","delta/epsilon subdivisions",GCA_000178935.2,1.56665,38.9,chromosome:NC_017360.1/CP002096.1,-,1,1566,1411,2010/12/29,2017/03/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/935/GCF_000178935.2_ASM17893v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/935/GCA_000178935.2_ASM17893v2
"Helicobacter pylori","MGYG-HGUT-01357",SAMEA5850860,PRJEB33885,"Proteobacteria","delta/epsilon subdivisions",GCA_902381665.1,1.56665,38.9,chromosome 1:NZ_LR698956.1/LR698956.1,-,1,1560,1413,2019/08/09,2019/08/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/381/665/GCF_902381665.1_UHGG_MGYG-HGUT-01357,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/381/665/GCA_902381665.1_UHGG_MGYG-HGUT-01357
"Helicobacter pylori","Hpbs1",SAMN10461767,PRJNA506489,"Proteobacteria","delta/epsilon subdivisions",GCA_003855475.1,1.5637,38.9,chromosome:NZ_CP034071.1/CP034071.1,-,1,1534,1393,2018/12/02,2018/12/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/855/475/GCF_003855475.1_ASM385547v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/855/475/GCA_003855475.1_ASM385547v1
"Helicobacter pylori 2018","2018",SAMN02603713,PRJNA62771,"Proteobacteria","delta/epsilon subdivisions",GCA_000192335.1,1.56283,39.3,chromosome:NC_017381.1/CP002572.1,-,1,1553,1375,2011/03/15,2019/08/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/335/GCF_000192335.1_ASM19233v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/335/GCA_000192335.1_ASM19233v1
"Helicobacter pylori","ML2",SAMD00024432,PRJDB3430,"Proteobacteria","delta/epsilon subdivisions",GCA_001549855.1,1.56212,38.9,chromosome Unknown:NZ_AP014711.1/AP014711.1,-,1,1545,1204,2015/03/07,2019/10/08,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/549/855/GCF_001549855.1_ASM154985v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/549/855/GCA_001549855.1_ASM154985v1
"Helicobacter pylori Sat464","Sat464",SAMN02603200,PRJNA49453,"Proteobacteria","delta/epsilon subdivisions",GCA_000148915.1,1.56757,39.0742,chromosome:NC_017359.1/CP002071.1; plasmid pHPSAT464:NC_017356.1/CP002072.1,-,2,1553,1419,2010/10/01,2017/03/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/915/GCF_000148915.1_ASM14891v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/915/GCA_000148915.1_ASM14891v1
"Helicobacter pylori oki128","oki128",SAMN03081490,PRJNA215150,"Proteobacteria","delta/epsilon subdivisions",GCA_000600125.1,1.55383,39,chromosome:NZ_CP006822.1/CP006822.1,-,1,1531,1363,2014/03/25,2019/08/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/125/GCF_000600125.1_ASM60012v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/125/GCA_000600125.1_ASM60012v1
"Helicobacter pylori 908","908",SAMN02604189,PRJNA50869,"Proteobacteria","delta/epsilon subdivisions",GCA_000148665.1,1.54967,39.3,chromosome:NC_017357.1/CP002184.1,-,1,1545,1356,2010/09/24,2019/08/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/665/GCF_000148665.1_ASM14866v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/665/GCA_000148665.1_ASM14866v1
"Helicobacter pylori 2017","2017",SAMN02603712,PRJNA62769,"Proteobacteria","delta/epsilon subdivisions",GCA_000192315.1,1.54824,39.3,chromosome:NC_017374.1/CP002571.1,-,1,1548,1367,2011/03/15,2019/08/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/315/GCF_000192315.1_ASM19231v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/315/GCA_000192315.1_ASM19231v1
"Helicobacter pylori","25-A-EK1",SAMN10053592,PRJNA490474,"Proteobacteria","delta/epsilon subdivisions",GCA_006339235.1,1.54021,39.1,chromosome:NZ_CP032906.1/CP032906.1,-,1,1520,1392,2019/06/13,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/339/235/GCF_006339235.1_ASM633923v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/339/235/GCA_006339235.1_ASM633923v1
"Helicobacter pylori","25-A-EK9",SAMN10053600,PRJNA490474,"Proteobacteria","delta/epsilon subdivisions",GCA_006337365.1,1.54014,39.2,chromosome:NZ_CP032478.1/CP032478.1,-,1,1516,1390,2019/06/13,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/365/GCF_006337365.1_ASM633736v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/365/GCA_006337365.1_ASM633736v1
"Helicobacter pylori","Hpbs2",SAMN10663081,PRJNA512253,"Proteobacteria","delta/epsilon subdivisions",GCA_004088155.1,1.53525,38.9,chromosome:NZ_CP035105.1/CP035105.1,-,1,1517,1389,2019/01/21,2019/01/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/088/155/GCF_004088155.1_ASM408815v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/088/155/GCA_004088155.1_ASM408815v1
"Helicobacter pylori","PNG84A",SAMN02731781,PRJNA245115,"Proteobacteria","delta/epsilon subdivisions",GCA_001653475.1,1.53145,38.8,chromosome:NZ_CP011487.1/CP011487.1,-,1,1523,1353,2016/05/27,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/475/GCF_001653475.1_ASM165347v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/653/475/GCA_001653475.1_ASM165347v1
"Helicobacter pylori","Hpbs3",SAMN10663175,PRJNA512257,"Proteobacteria","delta/epsilon subdivisions",GCA_004088075.1,1.51467,39,chromosome:NZ_CP035106.1/CP035106.1,-,1,1502,1361,2019/01/21,2019/01/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/088/075/GCF_004088075.1_ASM408807v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/088/075/GCA_004088075.1_ASM408807v1
"Helicobacter pylori","ausabrJ05",SAMN02731780,PRJNA245115,"Proteobacteria","delta/epsilon subdivisions",GCA_001653435.1,1.51056,39,chromosome:NZ_CP011485.1/CP011485.1,-,1,1498,1365,2016/05/27,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/435/GCF_001653435.1_ASM165343v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/653/435/GCA_001653435.1_ASM165343v1
"Helicobacter pylori Aklavik86","Aklavik86",SAMN02604324,PRJNA69925,"Proteobacteria","delta/epsilon subdivisions",GCA_000317875.1,1.50793,39.253,chromosome:NC_019563.1/CP003476.1; plasmid p1HPAKL86:NC_019564.1/CP003477.1; plasmid p2HPAKL86:NC_019565.1/CP003478.1,-,3,1468,1365,2012/11/26,2019/08/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/875/GCF_000317875.1_ASM31787v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/875/GCA_000317875.1_ASM31787v1
"Helicobacter pylori","G-Mx-2005-337",SAMN09935050,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008032995.1,1.69781,38.9,chromosome:NZ_CP032041.1/CP032041.1,-,1,1681,1450,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/032/995/GCF_008032995.1_ASM803299v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/032/995/GCA_008032995.1_ASM803299v1
"Helicobacter pylori","C-Mx-2011-69",SAMN09935064,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008026175.1,1.69368,38.7497,chromosome:NZ_CP032020.1/CP032020.1; plasmid unnamed:NZ_CP032021.1/CP032021.1,-,2,1669,1477,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/026/175/GCF_008026175.1_ASM802617v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/026/175/GCA_008026175.1_ASM802617v1
"Helicobacter pylori","7.13_3",SAMN06216069,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952235.1,1.67435,38.8,chromosome:NZ_CP023265.1/CP023265.1,-,1,1641,1371,2018/02/22,2019/08/29,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/235/GCF_002952235.1_ASM295223v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/235/GCA_002952235.1_ASM295223v1
"Helicobacter pylori","7.13_2",SAMN06216068,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952255.1,1.67421,38.8,chromosome:NZ_CP023266.1/CP023266.1,-,1,1635,1421,2018/02/22,2019/08/29,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/255/GCF_002952255.1_ASM295225v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/255/GCA_002952255.1_ASM295225v1
"Helicobacter pylori","B128_2",SAMN06216065,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952175.1,1.67414,38.8,chromosome:NZ_CP027020.1/CP027020.1,-,1,1637,1472,2018/02/22,2019/10/18,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/175/GCF_002952175.1_ASM295217v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/175/GCA_002952175.1_ASM295217v1
"Helicobacter pylori","7.13_1",SAMN06216067,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952275.1,1.67412,38.8,chromosome:NZ_CP023267.1/CP023267.1,-,1,1635,1483,2018/02/22,2019/10/18,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/275/GCF_002952275.1_ASM295227v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/275/GCA_002952275.1_ASM295227v1
"Helicobacter pylori","B128_3",SAMN06216066,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952195.1,1.67407,38.8,chromosome:NZ_CP027021.1/CP027021.1,-,1,1637,1484,2018/02/22,2019/10/18,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/195/GCF_002952195.1_ASM295219v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/195/GCA_002952195.1_ASM295219v1
"Helicobacter pylori","G-Mx-2003-250",SAMN09935045,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008033055.1,1.67228,38.9,chromosome:NZ_CP032048.1/CP032048.1,-,1,1614,1448,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/033/055/GCF_008033055.1_ASM803305v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/033/055/GCA_008033055.1_ASM803305v1
"Helicobacter pylori","C-Mx-2011-145",SAMN09935056,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008026815.1,1.69285,38.9625,chromosome:NZ_CP032034.1/CP032034.1; plasmid unnamed:NZ_CP032035.1/CP032035.1,-,2,1641,1471,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/026/815/GCF_008026815.1_ASM802681v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/026/815/GCA_008026815.1_ASM802681v1
"Helicobacter pylori","G-Mx-2003-108",SAMN09935047,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008033075.1,1.68617,38.8557,chromosome:NZ_CP032044.1/CP032044.1; plasmid unnamed:NZ_CP032045.1/CP032045.1,-,2,1647,1472,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/033/075/GCF_008033075.1_ASM803307v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/033/075/GCA_008033075.1_ASM803307v1
"Helicobacter pylori","G-Mx-2011-147",SAMN09935054,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008032475.1,1.66733,38.9,chromosome:NZ_CP032037.1/CP032037.1,-,1,1633,1453,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/032/475/GCF_008032475.1_ASM803247v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/032/475/GCA_008032475.1_ASM803247v1
"Helicobacter pylori","G-Mx-2011-124",SAMN09935053,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008032615.1,1.66127,39,chromosome:NZ_CP032038.1/CP032038.1,-,1,1632,1422,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/032/615/GCF_008032615.1_ASM803261v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/032/615/GCA_008032615.1_ASM803261v1
"Helicobacter pylori","C-Mx-2010-12",SAMN09935061,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008281125.1,1.65825,39,chromosome:NZ_CP032024.1/CP032024.1,-,1,1613,1455,2019/08/20,2019/09/14,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/281/125/GCF_008281125.1_ASM828112v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/281/125/GCA_008281125.1_ASM828112v1
"Helicobacter pylori","G-Mx-2005-108",SAMN09935049,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008033015.1,1.65485,39,chromosome:NZ_CP032042.1/CP032042.1,-,1,1616,1446,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/033/015/GCF_008033015.1_ASM803301v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/033/015/GCA_008033015.1_ASM803301v1
"Helicobacter pylori","C-Mx-2010-5",SAMN09935063,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008027235.1,1.64584,39.1,chromosome:NZ_CP032022.1/CP032022.1,-,1,1622,1477,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/027/235/GCF_008027235.1_ASM802723v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/027/235/GCA_008027235.1_ASM802723v1
"Helicobacter pylori","G-Mx-2006-583",SAMN09935052,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008032935.1,1.64551,39.1,chromosome:NZ_CP032039.1/CP032039.1,-,1,1620,1314,2019/08/20,2019/10/08,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/032/935/GCF_008032935.1_ASM803293v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/032/935/GCA_008032935.1_ASM803293v1
"Helicobacter pylori","C-Mx-2011-171",SAMN09935057,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008026615.1,1.6455,39.1,chromosome:NZ_CP032033.1/CP032033.1,-,1,1614,1434,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/026/615/GCF_008026615.1_ASM802661v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/026/615/GCA_008026615.1_ASM802661v1
"Helicobacter pylori","C-Mx-2010-3",SAMN09935062,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008027395.1,1.64234,39.1,chromosome:NZ_CP032023.1/CP032023.1,-,1,1625,1482,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/027/395/GCF_008027395.1_ASM802739v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/027/395/GCA_008027395.1_ASM802739v1
"Helicobacter pylori","C-Mx-2008-31",SAMN09935058,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008027775.1,1.64482,38.9877,chromosome:NZ_CP032031.1/CP032031.1; plasmid unnamed:NZ_CP032032.1/CP032032.1,-,2,1624,1458,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/027/775/GCF_008027775.1_ASM802777v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/027/775/GCA_008027775.1_ASM802777v1
"Helicobacter pylori","G-Mx-2003-93",SAMN09935048,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008033035.1,1.63268,39.1,chromosome:NZ_CP032043.1/CP032043.1,-,1,1594,1245,2019/08/20,2019/10/08,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/033/035/GCF_008033035.1_ASM803303v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/033/035/GCA_008033035.1_ASM803303v1
"Helicobacter pylori","G-Mx-2006-46",SAMN09935046,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008032955.1,1.63647,38.9958,chromosome:NZ_CP032046.1/CP032046.1; plasmid unnamed:NZ_CP032047.1/CP032047.1,-,2,1603,1325,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/032/955/GCF_008032955.1_ASM803295v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/032/955/GCA_008032955.1_ASM803295v1
"Helicobacter pylori","C-Mx-2011-152",SAMN09935060,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008026375.1,1.63843,38.9943,chromosome:NZ_CP032025.1/CP032025.1; plasmid unnamed:NZ_CP032026.1/CP032026.1,-,2,1623,1444,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/026/375/GCF_008026375.1_ASM802637v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/026/375/GCA_008026375.1_ASM802637v1
"Helicobacter pylori","C-Mx-2010-97",SAMN09935055,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008032735.1,1.62446,39.2,chromosome:NZ_CP032036.1/CP032036.1,-,1,1590,1380,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/032/735/GCF_008032735.1_ASM803273v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/032/735/GCA_008032735.1_ASM803273v1
"Helicobacter pylori","G-Mx-2006-152",SAMN09935051,PRJNA203445,"Proteobacteria","delta/epsilon subdivisions",GCA_008032975.1,1.61331,39.1,chromosome:NZ_CP032040.1/CP032040.1,-,1,1577,1421,2019/08/20,2019/08/22,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/032/975/GCF_008032975.1_ASM803297v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/032/975/GCA_008032975.1_ASM803297v1
"Helicobacter pylori","USU101",SAMN10182326,PRJNA494865,"Proteobacteria","delta/epsilon subdivisions",GCA_006874685.1,1.69583,38.8,chromosome:NZ_CP032818.1/CP032818.1,-,1,1666,1508,2019/07/11,2019/07/17,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/874/685/GCF_006874685.1_ASM687468v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/874/685/GCA_006874685.1_ASM687468v1
"Helicobacter pylori","7.13_D2a",SAMN06216082,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952395.1,1.674,38.8,chromosome:NZ_CP024018.1/CP024018.1,-,1,1635,1481,2018/02/26,2019/10/18,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/395/GCF_002952395.1_ASM295239v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/395/GCA_002952395.1_ASM295239v1
"Helicobacter pylori","7.13_D2c",SAMN06216084,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952435.1,1.674,38.8,chromosome:NZ_CP024020.1/CP024020.1,-,1,1637,1480,2018/02/26,2019/10/19,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/435/GCF_002952435.1_ASM295243v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/435/GCA_002952435.1_ASM295243v1
"Helicobacter pylori","7.13_D2b",SAMN06216083,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952415.1,1.674,38.8,chromosome:NZ_CP024019.1/CP024019.1,-,1,1637,1481,2018/02/26,2019/10/18,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/415/GCF_002952415.1_ASM295241v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/415/GCA_002952415.1_ASM295241v1
"Helicobacter pylori","F94",SAMD00042483,PRJDB4296,"Proteobacteria","delta/epsilon subdivisions",GCA_002357755.1,1.56617,38.9,chromosome:NZ_AP017355.1/AP017355.1,-,1,1559,1384,2017/01/17,2019/08/29,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/755/GCF_002357755.1_ASM235775v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/755/GCA_002357755.1_ASM235775v1
