Name,Strain,PATRIC ID,NCBI Taxon ID,BioSample,BioProject,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP,Completion Date,Sequencing Centers,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,Isolation Country,Host Name
Helicobacter pylori,NCTC12823,210.5392,210,SAMEA104224786,PRJEB6403,GCA_900638505.1,1.63222,39,chromosome 1:NZ_LR134519.1/LR134519.1,-,1,1604,1424,12/19/2018,12/28/2018,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/505/GCF_900638505.1_57728_F01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/638/505/GCA_900638505.1_57728_F01,2018-12-19T00:00:00Z,SC,,,,1,,1,1632224,,"Human, Homo sapiens"
Helicobacter pylori,B147,210.6104,210,SAMN08055037,PRJNA419269,GCA_007843535.1,1.63109,38.9,chromosome:NZ_CP024946.1/CP024946.1,-,1,1596,1434,8/5/2019,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/843/535/GCF_007843535.1_ASM784353v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/843/535/GCA_007843535.1_ASM784353v1,2019-08-05T00:00:00Z,Yonsei University,PacBio,553.46x,PacBio SMRT Analysis v. v2.3.0,1,,1,1631093,,
Helicobacter pylori PeCan4,PeCan4,765963.4,765963,SAMN02603203,PRJNA49027,GCA_000148875.1,1.63827,38.8681,chromosome:NC_014555.1/CP002074.1; plasmid pHPPC4:NC_014556.1/CP002075.1,-,2,1611,1462,10/1/2010,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/875/GCF_000148875.1_ASM14887v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/875/GCA_000148875.1_ASM14887v1,2010-10-01T00:00:00Z,Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,,,,1,1,2,1638269,,"Human, Homo sapiens"
Helicobacter pylori PeCan4,PeCan4,765963.8,765963,SAMN02603203,PRJNA49027,GCA_000148875.1,1.63827,38.8681,chromosome:NC_014555.1/CP002074.1; plasmid pHPPC4:NC_014556.1/CP002075.1,-,2,1611,1462,10/1/2010,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/875/GCF_000148875.1_ASM14887v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/875/GCA_000148875.1_ASM14887v1,2016-07-25T00:00:00Z,"Dept. of Molec. Microbiology, Washington University Medical School, Saint Louis",,,,,1,1,8712,Peru,"Human, Homo sapiens"
Helicobacter pylori,ML3,210.3079,210,SAMD00024433,PRJDB3430,GCA_001549875.1,1.63533,38.6787,chromosome Unknown:NZ_AP014712.1/AP014712.1; plasmid ML3-PL:NZ_AP014713.1/AP014713.1,-,2,1617,1363,3/7/2015,8/28/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/549/875/GCF_001549875.1_ASM154987v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/549/875/GCA_001549875.1_ASM154987v1,2015-06-04T00:00:00Z,National Health Research Institutes,454 GS junior,60x,GS Junior System SoftwarePackage v. 2.7,1,,1,6220,Taiwan,"Human, Homo sapiens"
Helicobacter pylori,478-A-EK1,210.5929,210,SAMN10053819,PRJNA490474,GCA_006339065.1,1.62862,38.9,chromosome:NZ_CP032899.1/CP032899.1,-,1,1602,1439,6/13/2019,6/22/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/339/065/GCF_006339065.1_ASM633906v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/339/065/GCA_006339065.1_ASM633906v1,2019-06-13T00:00:00Z,Max von Pettenkofer-Institut,PacBio RSII,300x,HGAP v. 3,1,,1,1628623,Germany,Homo sapiens
Helicobacter pylori Puno120,Puno120,1055528.4,1055528,SAMN02604320,PRJNA69917,GCA_000224535.1,1.63776,38.8758,chromosome:NC_017378.1/CP002980.1; plasmid pHPPN120:NC_017377.1/CP002981.1,-,2,1585,1444,8/26/2011,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/535/GCF_000224535.1_ASM22453v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/535/GCA_000224535.1_ASM22453v1,2011-08-26T00:00:00Z,Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,,,,1,1,2,1637762,,
Helicobacter pylori Puno120,Puno120,1055528.7,1055528,SAMN02604320,PRJNA69917,GCA_000224535.1,1.63776,38.8758,chromosome:NC_017378.1/CP002980.1; plasmid pHPPN120:NC_017377.1/CP002981.1,-,2,1585,1444,8/26/2011,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/535/GCF_000224535.1_ASM22453v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/535/GCA_000224535.1_ASM22453v1,2016-07-25T00:00:00Z,Washington University Medical School,,,,,1,1,12783,Peru,"Human, Homo sapiens"
Helicobacter pylori Lithuania75,Lithuania75,907237.3,907237,SAMN02603023,PRJNA53323,GCA_000185225.1,1.64067,38.8492,chromosome:NC_017362.1/CP002334.1; plasmid unnamed:NC_017363.1/CP002335.1,-,2,1619,1445,1/6/2011,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/225/GCF_000185225.1_ASM18522v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/225/GCA_000185225.1_ASM18522v1,2011-01-06T00:00:00Z,Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,,,,1,1,2,1640673,,
Helicobacter pylori Lithuania75,Lithuania75,907237.6,907237,SAMN02603023,PRJNA53323,GCA_000185225.1,1.64067,38.8492,chromosome:NC_017362.1/CP002334.1; plasmid unnamed:NC_017363.1/CP002335.1,-,2,1619,1445,1/6/2011,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/225/GCF_000185225.1_ASM18522v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/225/GCA_000185225.1_ASM18522v1,2016-07-25T00:00:00Z,"Berg lab, Washington University Medical School",,,,,1,1,16029,,
Helicobacter pylori,7C,210.197,210,SAMN03144736,PRJNA264984,GCA_001433515.1,1.63128,38.9895,chromosome:NZ_CP012905.1/CP012905.1; plasmid unnamed:NZ_CP012906.1/CP012906.1,-,2,1582,1421,11/5/2015,8/28/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/515/GCF_001433515.1_ASM143351v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/515/GCA_001433515.1_ASM143351v1,2015-11-05T00:00:00Z,Universidad Nacional Autonoma de Mexico,454; PcBioHQ; Solexa,121.29x,MIRA v. 3.4; SMRT v. 2.3,,1,2,1631276,Mexico,"Human, Homo sapiens"
Helicobacter pylori,7C,210.3092,210,SAMN03144736,PRJNA264984,GCA_001433515.1,1.63128,38.9895,chromosome:NZ_CP012905.1/CP012905.1; plasmid unnamed:NZ_CP012906.1/CP012906.1,-,2,1582,1421,11/5/2015,8/28/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/515/GCF_001433515.1_ASM143351v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/515/GCA_001433515.1_ASM143351v1,2016-03-22T00:00:00Z,Universidad Nacional Autonoma de Mexico,454; PcBioHQ; Solexa,121.29x,MIRA v. 3.4; SMRT v. 2.3,,1,1,6835,Mexico,"Human, Homo sapiens"
Helicobacter pylori SouthAfrica20,SouthAfrica20,1352356.3,1352356,SAMN02604293,PRJNA209860,GCA_000590775.1,1.6229,38.6,chromosome:NC_022130.1/CP006691.1,-,1,1568,1342,8/21/2013,8/27/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/775/GCF_000590775.1_ASM59077v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/590/775/GCA_000590775.1_ASM59077v1,2013-08-21T00:00:00Z,Vanderbilt University School of Medicine,454,25x,GS De Novo Assemble v. Jan 2011,1,,1,1622903,South Africa,"Human, Homo sapiens"
Helicobacter pylori,13-A-EK8,210.5925,210,SAMN10053419,PRJNA490474,GCA_006338545.1,1.6193,39.1,chromosome:NZ_CP032912.1/CP032912.1,-,1,1604,1435,6/13/2019,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/545/GCF_006338545.1_ASM633854v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/545/GCA_006338545.1_ASM633854v1,2019-06-13T00:00:00Z,Max von Pettenkofer-Institut,PacBio RSII,300x,HGAP v. 3,1,,1,1619300,Germany,Homo sapiens
Helicobacter pylori SS1,SS1,102617.13,102617,SAMN03331743,PRJNA256258,GCA_002005525.1,1.62494,38.9939,chromosome:NZ_CP009259.1/CP009259.1; plasmid pHPLYSS1:NZ_CP009260.1/CP009260.1,-,2,1592,1439,2/22/2017,8/7/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/525/GCF_002005525.1_ASM200552v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/005/525/GCA_002005525.1_ASM200552v1,2017-02-22T00:00:00Z,University of California at Santa Cruz,"454, SOLiD, targeted Sanger, targeted",>1000x,Roche GS Assembler & GS Mapper v. 2.0.01;,,1,1,5845,Australia,Helicobacter pylori
Helicobacter pylori PMSS1,PMSS1,1431450.5,1431450,SAMN04362855,PRJNA306775,GCA_001991095.1,1.62454,38.9929,chromosome:NZ_CP018823.1/CP018823.1; plasmid pHPYLPMSS1:NZ_CP018824.1/CP018824.1,-,2,1588,1438,2/10/2017,3/29/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/991/095/GCF_001991095.1_ASM199109v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/991/095/GCA_001991095.1_ASM199109v1,2017-02-10T00:00:00Z,"University of California, Davis","PacBio, HiSeq",>500x,SMRT Analysis pipeline (HGAP & QUIVER) v.,,1,1,6058,Australia,"Human, Homo sapiens"
Helicobacter pylori 83,83,585538.3,585538,SAMN00189522,PRJNA34609,GCA_000213135.1,1.61743,38.7,chromosome:NC_017375.1/CP002605.1,-,1,1599,1432,5/11/2011,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/135/GCF_000213135.1_ASM21313v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/135/GCA_000213135.1_ASM21313v1,2011-05-11T00:00:00Z,Baylor College of Medicine,454,38.3x,Newbler v. 2.0.0-Eclipse,1,,1,1617426,,"Human, Homo sapiens"
Helicobacter pylori Shi169,Shi169,1163741.3,1163741,SAMN02603195,PRJNA94507,GCA_000277385.1,1.61691,38.9,chromosome:NC_017740.1/CP003473.1,-,1,1595,1456,4/19/2012,3/23/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/385/GCF_000277385.1_ASM27738v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/385/GCA_000277385.1_ASM27738v1,2012-04-19T00:00:00Z,"Dept. Molec. Microbiology, Washington University Medical School in Saint Louis",,,,1,,1,1616909,Peru,"Human, Homo sapiens"
Helicobacter pylori OK113,OK113,1248725.3,1248725,SAMD00061056,PRJDB693,GCA_000348865.1,1.61662,38.7,chromosome:NC_020508.1/AP012600.1,-,1,1595,1420,3/11/2013,8/26/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/348/865/GCF_000348865.1_ASM34886v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/348/865/GCA_000348865.1_ASM34886v1,2013-03-11T00:00:00Z,University of Tokyo,Sanger,7.9x,phrap v. 1.080730,1,,1,1616617,,
Helicobacter pylori Aklavik117,Aklavik117,1055531.3,1055531,SAMN02604323,PRJNA69923,GCA_000315955.1,1.63613,38.7292,chromosome:NC_019560.1/CP003483.1; plasmid p1HPAKL117:NC_019561.1/CP003484.1; plasmid p2HPAKL117:NC_019562.1/CP003485.1,-,3,1587,1454,11/26/2012,8/26/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/955/GCF_000315955.1_ASM31595v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/955/GCA_000315955.1_ASM31595v1,2012-11-26T00:00:00Z,Washington University Medical School,,,1,1,2,3,1636125,Canada,"Human, Homo sapiens"
Helicobacter pylori Aklavik117,Aklavik117,1055531.5,1055531,SAMN02604323,PRJNA69923,GCA_000315955.1,1.63613,38.7292,chromosome:NC_019560.1/CP003483.1; plasmid p1HPAKL117:NC_019561.1/CP003484.1; plasmid p2HPAKL117:NC_019562.1/CP003485.1,-,3,1587,1454,11/26/2012,8/26/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/955/GCF_000315955.1_ASM31595v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/955/GCA_000315955.1_ASM31595v1,2016-07-26T00:00:00Z,Washington University Medical School,,,,,1,1,18787,Canada,"Human, Homo sapiens"
Helicobacter pylori Aklavik117,Aklavik117,1055531.6,1055531,SAMN02604323,PRJNA69923,GCA_000315955.1,1.63613,38.7292,chromosome:NC_019560.1/CP003483.1; plasmid p1HPAKL117:NC_019561.1/CP003484.1; plasmid p2HPAKL117:NC_019562.1/CP003485.1,-,3,1587,1454,11/26/2012,8/26/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/955/GCF_000315955.1_ASM31595v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/955/GCA_000315955.1_ASM31595v1,2016-07-26T00:00:00Z,Washington University Medical School,,,,,1,1,2891,Canada,"Human, Homo sapiens"
Helicobacter pylori,169-C-EK8,210.591,210,SAMN10053716,PRJNA490474,GCA_006337345.1,1.61163,39,chromosome:NZ_CP032477.1/CP032477.1,-,1,1584,1425,6/13/2019,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/345/GCF_006337345.1_ASM633734v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/345/GCA_006337345.1_ASM633734v1,2019-06-13T00:00:00Z,Max von Pettenkofer-Institut,PacBio RSII,300x,HGAP v. 3,1,,1,1611628,Germany,Homo sapiens
Helicobacter pylori,169-A-EK5,210.5918,210,SAMN10053703,PRJNA490474,GCA_006337625.1,1.61019,39,chromosome:NZ_CP032904.1/CP032904.1,-,1,1582,1426,6/13/2019,10/31/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/625/GCF_006337625.1_ASM633762v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/625/GCA_006337625.1_ASM633762v1,2019-06-13T00:00:00Z,Max von Pettenkofer-Institut,PacBio RSII,300x,HGAP v. 3,1,,1,1610187,Germany,Homo sapiens
Helicobacter pylori,280-A-EK1,210.5916,210,SAMN10053739,PRJNA490474,GCA_006337465.1,1.60944,39,chromosome:NZ_CP032902.1/CP032902.1,-,1,1598,1429,6/13/2019,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/465/GCF_006337465.1_ASM633746v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/465/GCA_006337465.1_ASM633746v1,2019-06-13T00:00:00Z,Max von Pettenkofer-Institut,PacBio RSII,300x,HGAP v. 3,1,,1,1609437,Germany,Homo sapiens
Helicobacter pylori F57,F57,866346.4,866346,SAMD00060974,PRJDA50595,GCA_000270065.1,1.60901,38.7,chromosome:NC_017367.1/AP011945.1,-,1,1584,1436,1/7/2011,8/26/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/065/GCF_000270065.1_ASM27006v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/065/GCA_000270065.1_ASM27006v1,2011-01-07T00:00:00Z,The University of Tokyo|Center for Omics and Bioinformatics,,,,1,,1,1609006,,
Helicobacter pylori Shi470,Shi470,512562.5,512562,SAMN02604319,PRJNA29045,GCA_000020245.1,1.60855,38.9,chromosome:NC_010698.2/CP001072.2,-,1,1584,1442,5/14/2008,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/245/GCF_000020245.1_ASM2024v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/245/GCA_000020245.1_ASM2024v1,2008-05-14T00:00:00Z,Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,,,,1,,1,1608548,Peru,
Helicobacter pylori SNT49,Santal49,1055530.4,1055530,SAMN02604322,PRJNA69921,GCA_000224575.1,1.61083,38.9968,chromosome:NC_017376.1/CP002983.1; plasmid pHPSNT:NC_017380.1/CP002984.1,-,2,1579,1427,8/26/2011,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/575/GCF_000224575.1_ASM22457v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/575/GCA_000224575.1_ASM22457v1,2011-08-26T00:00:00Z,Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,,,,1,1,2,1610830,,
Helicobacter pylori SNT49,Santal49,1055530.6,1055530,SAMN02604322,PRJNA69921,GCA_000224575.1,1.61083,38.9968,chromosome:NC_017376.1/CP002983.1; plasmid pHPSNT:NC_017380.1/CP002984.1,-,2,1579,1427,8/26/2011,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/575/GCF_000224575.1_ASM22457v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/575/GCA_000224575.1_ASM22457v1,2016-07-25T00:00:00Z,Washington University Medical School,,,,,1,1,3253,India,"Human, Homo sapiens"
Helicobacter pylori,TN2wt,210.6129,210,SAMN02724990,PRJNA244276,GCA_008326525.1,1.60495,38.7,chromosome:NZ_AP019730.1/AP019730.1,-,1,1597,1428,8/22/2019,9/14/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/326/525/GCF_008326525.1_ASM832652v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/326/525/GCA_008326525.1_ASM832652v1,2019-08-23T00:00:00Z,Oita University,PacBio,567x,HGAP v. 2.0,1,,1,1604952,Japan,Homo sapiens
Helicobacter pylori,PMSS1,210.5631,210,SAMD00051588,PRJDB4521,GCA_004295545.1,1.60915,38.9928,chromosome:NZ_AP017633.1/AP017633.1; plasmid pPMSS1:NZ_AP017634.1/AP017634.1,-,2,1588,1433,1/17/2019,8/8/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/295/545/GCF_004295545.1_HP_PMSS1_01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/295/545/GCA_004295545.1_HP_PMSS1_01,2019-01-17T00:00:00Z,"Microbial genome science, Genome of Life and Environmental Sciences Division, Frontier Science Research Center",454 GS FLX; ABI 3730; illumina,42x,Newbler v. 2.6,1,1,2,1609151,,
Helicobacter pylori,476-C-EK5,210.5927,210,SAMN10053808,PRJNA490474,GCA_006338815.1,1.60138,39,chromosome:NZ_CP032474.1/CP032474.1,-,1,1597,1428,6/13/2019,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/815/GCF_006338815.1_ASM633881v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/815/GCA_006338815.1_ASM633881v1,2019-06-13T00:00:00Z,Max von Pettenkofer-Institut,PacBio RSII,300x,HGAP v. 3,1,,1,1601381,Germany,Homo sapiens
Helicobacter pylori oki828,oki828,1382926.3,1382926,SAMN03081494,PRJNA215153,GCA_000600205.1,1.60034,38.8,chromosome:NZ_CP006826.1/CP006826.1,-,1,1574,1407,3/25/2014,8/27/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/205/GCF_000600205.1_ASM60020v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/205/GCA_000600205.1_ASM60020v1,2014-03-25T00:00:00Z,Okinawa Institute of Advanced Sciences,PacBio,434x,HGAP v. 2.0,1,,1,1600345,Japan,"Human, Homo sapiens"
Helicobacter pylori oki154,oki154,1382923.3,1382923,SAMN03081491,PRJNA215152,GCA_000600145.1,1.5997,38.8,chromosome:NZ_CP006823.1/CP006823.1,-,1,1575,1412,3/25/2014,8/27/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/145/GCF_000600145.1_ASM60014v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/145/GCA_000600145.1_ASM60014v1,2014-03-25T00:00:00Z,Okinawa Institute of Advanced Sciences,PacBio,822x,HGAP v. 2.0,1,,1,1599700,Japan,"Human, Homo sapiens"
Helicobacter pylori,20-A-EK1,210.5923,210,SAMN10053472,PRJNA490474,GCA_006338285.1,1.59966,39.1,chromosome:NZ_CP032910.1/CP032910.1,-,1,1584,1417,6/13/2019,10/31/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/285/GCF_006338285.1_ASM633828v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/285/GCA_006338285.1_ASM633828v1,2019-06-13T00:00:00Z,Max von Pettenkofer-Institut,PacBio RSII,300x,HGAP v. 3,1,,1,1599658,Germany,Homo sapiens
Helicobacter pylori HUP-B14,HUP-B14,1163743.3,1163743,SAMN02603197,PRJNA95277,GCA_000259235.1,1.60758,39.0866,chromosome:NC_017733.1/CP003486.1; plasmid pHPB14:NC_017734.1/CP003487.1,-,2,1574,1429,4/19/2012,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/259/235/GCF_000259235.1_ASM25923v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/259/235/GCA_000259235.1_ASM25923v1,2012-04-19T00:00:00Z,"Dept. Molec. Microbiology, Washington University Medical School in Saint Louis",,,,1,1,2,1607584,Spain,"Human, Homo sapiens"
Helicobacter pylori HUP-B14,HUP-B14,1163743.5,1163743,SAMN02603197,PRJNA95277,GCA_000259235.1,1.60758,39.0866,chromosome:NC_017733.1/CP003486.1; plasmid pHPB14:NC_017734.1/CP003487.1,-,2,1574,1429,4/19/2012,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/259/235/GCF_000259235.1_ASM25923v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/259/235/GCA_000259235.1_ASM25923v1,2016-07-26T00:00:00Z,"Dept. Molec. Microbiology, Washington University Medical School in Saint Louis",,,,,1,1,8304,Spain,"Human, Homo sapiens"
Helicobacter pylori,5-A-EK1,210.5931,210,SAMN10053382,PRJNA490474,GCA_006339365.1,1.59699,39,chromosome:NZ_CP032913.1/CP032913.1,-,1,1562,1421,6/13/2019,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/339/365/GCF_006339365.1_ASM633936v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/339/365/GCA_006339365.1_ASM633936v1,2019-06-13T00:00:00Z,Max von Pettenkofer-Institut,PacBio RSII,300x,HGAP v. 3,1,,1,1596986,Germany,Homo sapiens
Helicobacter pylori HPAG1,HPAG1,357544.13,357544,SAMN02604311,PRJNA16183,GCA_000013245.1,1.60574,39.0842,chromosome:NC_008086.1/CP000241.1; plasmid pHPAG1:NC_008087.1/CP000242.1,-,2,1579,1438,6/6/2006,8/25/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/245/GCF_000013245.1_ASM1324v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/245/GCA_000013245.1_ASM1324v1,2006-06-06T00:00:00Z,Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,,,,1,1,2,1605736,,"Human, Homo sapiens"
Helicobacter pylori HPAG1,HPAG1,357544.23,357544,SAMN02604311,PRJNA16183,GCA_000013245.1,1.60574,39.0842,chromosome:NC_008086.1/CP000241.1; plasmid pHPAG1:NC_008087.1/CP000242.1,-,2,1579,1438,6/6/2006,8/25/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/245/GCF_000013245.1_ASM1324v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/245/GCA_000013245.1_ASM1324v1,2016-07-14T00:00:00Z,Washington University (WashU),,,,,1,1,9370,,"Human, Homo sapiens"
Helicobacter pylori oki673,oki673,1382925.3,1382925,SAMN03081493,PRJNA215154,GCA_000600185.1,1.59506,38.8,chromosome:NZ_CP006825.1/CP006825.1,-,1,1566,1401,3/25/2014,8/27/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/600/185/GCF_000600185.1_ASM60018v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/185/GCA_000600185.1_ASM60018v1,2014-03-25T00:00:00Z,Okinawa Institute of Advanced Sciences,PacBio,193x,HGAP v. 2.0,1,,1,1595058,Japan,"Human, Homo sapiens"
Helicobacter pylori UM299,UM299,1321938.4,1321938,SAMN02230259,PRJNA196984,GCA_000392475.3,1.59457,38.8,chromosome:NC_021216.3/CP005491.3,-,1,1560,1439,5/14/2013,8/27/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/475/GCF_000392475.3_ASM39247v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/475/GCA_000392475.3_ASM39247v3,2013-05-14T00:00:00Z,University of Malaya,Pacific Biosciences,20X,SMRT de novo v. CLR,1,,1,1602007,Malaysia,"Mouse, Mus musculus"
Helicobacter pylori UM298,UM298,1321941.5,1321941,SAMN02641597,PRJNA196983,GCA_000439295.2,1.59454,38.8,chromosome:NC_021882.2/CP006610.2,-,1,1561,1440,7/23/2013,8/27/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/295/GCF_000439295.2_ASM43929v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/295/GCA_000439295.2_ASM43929v2,2013-07-23T00:00:00Z,University of Malaya,PacBio,,HGAP v. 2013,1,,1,1604216,Singapore,"Mouse, Mus musculus"
Helicobacter pylori UM032,UM032,1311573.5,1311573,SAMN02230257,PRJNA196982,GCA_000392455.3,1.59354,38.8,chromosome:NC_021215.3/CP005490.3,-,1,1559,1440,5/14/2013,8/27/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/455/GCF_000392455.3_ASM39245v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/455/GCA_000392455.3_ASM39245v3,2013-05-14T00:00:00Z,University of Malaya,Pacific Biosciences,20X,SMRT de novo v. CLR,1,,1,1599933,Malaysia,"Human, Homo sapiens"
