"Name","NCBI Genome","NCBI Taxonomy","PATRIC","KEGG","BioCYC","RAST Annotation","VFDB","RefSeq FTP","GenBank FTP","BioSample","BioProject","Assembly","Size (Mb)","GC%","Replicons","WGS","Scaffolds","Genes","Proteins","Release Date","Modify Date","Level","Completion Date","Sequencing Centers","Sequencing Platform","Sequencing Depth","Assembly Method","Chromosomes","Plasmids","Contigs","Genome Length","Isolation Country","Host Name"
"Helicobacter pylori Shi417","163559","1163739","1163739.3","T02039","HPYL1163739","163559","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/365/GCF_000277365.1_ASM27736v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/365/GCA_000277365.1_ASM27736v1","SAMN02603193","PRJNA94345","GCA_000277365.1","1.66572","38.8","chromosome:NC_017739.1/CP003472.1","-","1","1622","1490/163559","4/19/2012","3/23/2017","Complete Genome","2012-04-19T00:00:00Z","Dept. Molec. Microbiology, Washington University Medical School in Saint Louis","","","","1","","1","1665719","Peru","Human, Homo sapiens"
"Helicobacter pylori Shi470","299775","512562","512562.5","T00742","HPYL512562","299775","yes","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/245/GCF_000020245.1_ASM2024v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/245/GCA_000020245.1_ASM2024v1","SAMN02604319","PRJNA29045","GCA_000020245.1","1.60855","38.9","chromosome:NC_010698.2/CP001072.2","-","1","1584","1442/299775","5/14/2008","3/22/2017","Complete Genome","2008-05-14T00:00:00Z","Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine","","","","1","","1","1608548","Peru",""
"Helicobacter pylori SJM180","163536","765962","765962.4","T01323","HPYL765962","163536","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/855/GCF_000148855.1_ASM14885v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/855/GCA_000148855.1_ASM14885v1","SAMN02603202","PRJNA49025","GCA_000148855.1","1.65805","38.9","chromosome:NC_014560.1/CP002073.1","-","1","1617","1478/163536","10/1/2010","3/22/2017","Complete Genome","2010-10-01T00:00:00Z","Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine","","","","1","","1","1658051","Peru",""
"Helicobacter pylori SNT49","163551","1055530","1055530.4","T01916","","163551","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/575/GCF_000224575.1_ASM22457v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/575/GCA_000224575.1_ASM22457v1","SAMN02604322","PRJNA69921","GCA_000224575.1","1.61083","38.9968","chromosome:NC_017376.1/CP002983.1; plasmid pHPSNT:NC_017380.1/CP002984.1","-","2","1579","1427/163551","8/26/2011","3/22/2017","Complete Genome","2011-08-26T00:00:00Z","Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine","","","","1","1","2","1610830","",""
"Helicobacter pylori SNT49","163551","1055530","1055530.6","T01916","","163551","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/575/GCF_000224575.1_ASM22457v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/575/GCA_000224575.1_ASM22457v1","SAMN02604322","PRJNA69921","GCA_000224575.1","1.61083","38.9968","chromosome:NC_017376.1/CP002983.1; plasmid pHPSNT:NC_017380.1/CP002984.1","-","2","1579","1427/163551","8/26/2011","3/22/2017","Complete Genome","2016-07-25T00:00:00Z","Washington University Medical School","","","","","1","1","3253","India","Human, Homo sapiens"
"Helicobacter pylori SouthAfrica20","163577","1352356","1352356.3","T02807","HPYL1352356","163577","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/775/GCF_000590775.1_ASM59077v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/590/775/GCA_000590775.1_ASM59077v1","SAMN02604293","PRJNA209860","GCA_000590775.1","1.6229","38.6","chromosome:NC_022130.1/CP006691.1","-","1","1568","1342/163577","8/21/2013","8/27/2019","Complete Genome","2013-08-21T00:00:00Z","Vanderbilt University School of Medicine","454","25x","GS De Novo Assemble v. Jan 2011","1","","1","1622903","South Africa","Human, Homo sapiens"
"Helicobacter pylori SouthAfrica7","163544","907239","907239.3","T01921","HPYL907239","163544","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/245/GCF_000185245.1_ASM18524v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/245/GCA_000185245.1_ASM18524v1","SAMN02603025","PRJNA53319","GCA_000185245.1","1.67983","38.4259","chromosome:NC_017361.1/CP002336.1; plasmid unnamed:NC_017373.1/CP002337.1","-","2","1610","1452/163544","1/6/2011","8/25/2019","Complete Genome","2011-01-06T00:00:00Z","Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine","","","","1","1","2","1679829","",""
"Helicobacter pylori SouthAfrica7","163544","907239","907239.6","T01921","HPYL907239","163544","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/245/GCF_000185245.1_ASM18524v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/245/GCA_000185245.1_ASM18524v1","SAMN02603025","PRJNA53319","GCA_000185245.1","1.67983","38.4259","chromosome:NC_017361.1/CP002336.1; plasmid unnamed:NC_017373.1/CP002337.1","-","2","1610","1452/163544","1/6/2011","8/25/2019","Complete Genome","2016-07-25T00:00:00Z","Berg lab, Washington University Medical Shool","","","","","1","1","25916","",""
"Helicobacter pylori SS1","307918","102617","102617.13","","GCF_002005525","307918","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/525/GCF_002005525.1_ASM200552v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/005/525/GCA_002005525.1_ASM200552v1","SAMN03331743","PRJNA256258","GCA_002005525.1","1.62494","38.9939","chromosome:NZ_CP009259.1/CP009259.1; plasmid pHPLYSS1:NZ_CP009260.1/CP009260.1","-","2","1592","1439/307918","2/22/2017","8/7/2019","Complete Genome","2017-02-22T00:00:00Z","University of California at Santa Cruz","454, SOLiD, targeted Sanger, targeted",">1000x","Roche GS Assembler & GS Mapper v. 2.0.01;","","1","1","5845","Australia","Helicobacter pylori"
"Helicobacter pylori TN2wt","676610","210","210.6129","","","676610","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/326/525/GCF_008326525.1_ASM832652v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/326/525/GCA_008326525.1_ASM832652v1","SAMN02724990","PRJNA244276","GCA_008326525.1","1.60495","38.7","chromosome:NZ_AP019730.1/AP019730.1","-","1","1597","1428/676610","8/22/2019","9/14/2019","Complete Genome","2019-08-23T00:00:00Z","Oita University","PacBio","567x","HGAP v. 2.0","1","","1","1604952","Japan","Homo sapiens"
"Helicobacter pylori UM032","209379","1311573","1311573.5","T02658","HPYL1311573","209379","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/455/GCF_000392455.3_ASM39245v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/455/GCA_000392455.3_ASM39245v3","SAMN02230257","PRJNA196982","GCA_000392455.3","1.59354","38.8","chromosome:NC_021215.3/CP005490.3","-","1","1559","1440/209379","5/14/2013","8/27/2019","Complete Genome","2013-05-14T00:00:00Z","University of Malaya","Pacific Biosciences","20X","SMRT de novo v. CLR","1","","1","1599933","Malaysia","Human, Homo sapiens"
"Helicobacter pylori UM037","210005","1321939","1321939.6","T02659","HPYL1321939","210005","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/515/GCF_000392515.3_ASM39251v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/515/GCA_000392515.3_ASM39251v3","SAMN02604194","PRJNA196985","GCA_000392515.3","1.69279","38.9","chromosome:NC_021217.3/CP005492.3","-","1","1675","1507/210005","5/14/2013","3/24/2017","Complete Genome","2013-05-14T00:00:00Z","University of Malaya","Pacific Biosciences","20X","SMRT de novo v. CLR","1","","1","1694406","Malaysia","Human, Homo sapiens"
"Helicobacter pylori UM066","210006","1321940","1321940.5","T02660","HPYL1321940","210006","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/535/GCF_000392535.3_ASM39253v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/535/GCA_000392535.3_ASM39253v3","SAMN02230271","PRJNA196986","GCA_000392535.3","1.65805","38.6","chromosome:NC_021218.3/CP005493.3","-","1","1614","1471/210006","5/14/2013","3/24/2017","Complete Genome","2013-05-14T00:00:00Z","University of Malaya","Pacific Biosciences","20X","SMRT de novo v. CLR","1","","1","1658730","Malaysia","Human, Homo sapiens"
"Helicobacter pylori UM298","209381","1321941","1321941.5","T02757","HPYL1321941","209381","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/295/GCF_000439295.2_ASM43929v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/295/GCA_000439295.2_ASM43929v2","SAMN02641597","PRJNA196983","GCA_000439295.2","1.59454","38.8","chromosome:NC_021882.2/CP006610.2","-","1","1561","1440/209381","7/23/2013","8/27/2019","Complete Genome","2013-07-23T00:00:00Z","University of Malaya","PacBio","","HGAP v. 2013","1","","1","1604216","Singapore","Mouse, Mus musculus"
"Helicobacter pylori UM299","209380","1321938","1321938.4","T02661","GCF_000392475","209380","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/475/GCF_000392475.3_ASM39247v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/475/GCA_000392475.3_ASM39247v3","SAMN02230259","PRJNA196984","GCA_000392475.3","1.59457","38.8","chromosome:NC_021216.3/CP005491.3","-","1","1560","1439/209380","5/14/2013","8/27/2019","Complete Genome","2013-05-14T00:00:00Z","University of Malaya","Pacific Biosciences","20X","SMRT de novo v. CLR","1","","1","1602007","Malaysia","Mouse, Mus musculus"
"Helicobacter pylori v225d","163534","637913","637913.3","T01899","HPYL637913","163534","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/185/GCF_000093185.1_ASM9318v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/185/GCA_000093185.1_ASM9318v1","SAMN00003101","PRJNA36609","GCA_000093185.1","1.5956","38.972","chromosome:NC_017355.1/CP001582.1; plasmid pHPv225d:NC_017383.1/CP001583.1","-","2","1565","1416/163534","6/3/2010","8/25/2019","Complete Genome","2010-06-03T00:00:00Z","The Pathosystems Resource Integration Center (PATRIC)|Virginia Bioinformatics Institute|Virginia Polytechnic Institute and State University, Virginia Bioinformatics Institute, USA, Blacksburg","","","","1","1","2","1595604","",""
"Helicobacter pylori v225d","163534","637913","637913.5","T01899","HPYL637913","163534","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/185/GCF_000093185.1_ASM9318v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/185/GCA_000093185.1_ASM9318v1","SAMN00003101","PRJNA36609","GCA_000093185.1","1.5956","38.972","chromosome:NC_017355.1/CP001582.1; plasmid pHPv225d:NC_017383.1/CP001583.1","-","2","1565","1416/163534","6/3/2010","8/25/2019","Complete Genome","2016-07-25T00:00:00Z","Virginia Bioinformatics Institute","","","","","1","1","7326","","Human, Homo sapiens"
"Helicobacter pylori XZ274","163554","1127122","1127122.3","T02130","GCF_000262655","163554","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/262/655/GCF_000262655.1_ASM26265v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/655/GCA_000262655.1_ASM26265v1","SAMN02603962","PRJNA79003","GCA_000262655.1","1.65654","38.6067","chromosome:NC_017926.1/CP003419.1; plasmid pXZ274:NC_017919.1/CP003420.1","-","2","1647","1345/163554","5/14/2012","10/9/2019","Complete Genome","2012-05-14T00:00:00Z","Third Military Medical University","","","","1","1","2","1656544","China","Human, Homo sapiens"
"Helicobacter pylori XZ274","163554","1127122","1127122.5","T02130","GCF_000262655","163554","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/262/655/GCF_000262655.1_ASM26265v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/655/GCA_000262655.1_ASM26265v1","SAMN02603962","PRJNA79003","GCA_000262655.1","1.65654","38.6067","chromosome:NC_017926.1/CP003419.1; plasmid pXZ274:NC_017919.1/CP003420.1","-","2","1647","1345/163554","5/14/2012","10/9/2019","Complete Genome","2016-07-26T00:00:00Z","Third Military Medical University","","","","","1","1","22406","China","Human, Homo sapiens"
"Helicobacter pylori 7.13_1","364227","210","210.4130","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/275/GCF_002952275.1_ASM295227v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/275/GCA_002952275.1_ASM295227v1","SAMN06216067","PRJNA362878","GCA_002952275.1","1.67412","38.8","chromosome:NZ_CP023267.1/CP023267.1","-","1","1635","1483/364227","2/22/2018","10/18/2019","Chromosome","2018-02-22T00:00:00Z","Vanderbilt University Medical Center","Illumina MiSeq","20x","VGAS v. 1","","","1","1674115","United States","gerbil"
"Helicobacter pylori 7.13_2","364226","210","210.4129","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/255/GCF_002952255.1_ASM295225v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/255/GCA_002952255.1_ASM295225v1","SAMN06216068","PRJNA362878","GCA_002952255.1","1.67421","38.8","chromosome:NZ_CP023266.1/CP023266.1","-","1","1635","1421/364226","2/22/2018","8/29/2019","Chromosome","2018-02-22T00:00:00Z","Vanderbilt University Medical Center","Illumina MiSeq","20x","VGAS v. 1","","","1","1674214","United States","gerbil"
"Helicobacter pylori 7.13_3","364225","210","210.4128","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/235/GCF_002952235.1_ASM295223v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/235/GCA_002952235.1_ASM295223v1","SAMN06216069","PRJNA362878","GCA_002952235.1","1.67435","38.8","chromosome:NZ_CP023265.1/CP023265.1","-","1","1641","1371/364225","2/22/2018","8/29/2019","Chromosome","2018-02-22T00:00:00Z","Vanderbilt University Medical Center","Illumina MiSeq","20x","VGAS v. 1","","","1","1674350","United States","gerbil"
"Helicobacter pylori 7.13_D2a","364228","210","210.4134","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/395/GCF_002952395.1_ASM295239v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/395/GCA_002952395.1_ASM295239v1","SAMN06216082","PRJNA362878","GCA_002952395.1","1.674","38.8","chromosome:NZ_CP024018.1/CP024018.1","-","1","1635","1481/364228","2/26/2018","10/18/2019","Chromosome","2018-02-26T00:00:00Z","Vanderbilt University Medical Center","Illumina MiSeq","118x","VGAS v. 1","1","","1","1674004","United States","gerbil"
"Helicobacter pylori 7.13_D2b","364229","210","210.4135","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/415/GCF_002952415.1_ASM295241v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/415/GCA_002952415.1_ASM295241v1","SAMN06216083","PRJNA362878","GCA_002952415.1","1.674","38.8","chromosome:NZ_CP024019.1/CP024019.1","-","1","1637","1481/364229","2/26/2018","10/18/2019","Chromosome","2018-02-26T00:00:00Z","Vanderbilt University Medical Center","Illumina MiSeq","111x","VGAS v. 1","1","","1","1674005","United States","gerbil"
"Helicobacter pylori 7.13_D2c","364230","210","210.4136","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/435/GCF_002952435.1_ASM295243v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/435/GCA_002952435.1_ASM295243v1","SAMN06216084","PRJNA362878","GCA_002952435.1","1.674","38.8","chromosome:NZ_CP024020.1/CP024020.1","-","1","1637","1480/364230","2/26/2018","10/19/2019","Chromosome","2018-02-26T00:00:00Z","Vanderbilt University Medical Center","Illumina MiSeq","91x","VGAS v. 1","1","","1","1673998","United States","gerbil"
"Helicobacter pylori B128_2","364223","210","210.4126","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/175/GCF_002952175.1_ASM295217v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/175/GCA_002952175.1_ASM295217v1","SAMN06216065","PRJNA362878","GCA_002952175.1","1.67414","38.8","chromosome:NZ_CP027020.1/CP027020.1","-","1","1637","1472/364223","2/22/2018","10/18/2019","Chromosome","2018-02-22T00:00:00Z","Vanderbilt University Medical Center","Illumina MiSeq","20.0x","Visual Genomics Analysis Studio v.","1","","1","1674142","United States","Human, Homo sapiens"
"Helicobacter pylori B128_3","364224","210","210.4127","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/195/GCF_002952195.1_ASM295219v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/195/GCA_002952195.1_ASM295219v1","SAMN06216066","PRJNA362878","GCA_002952195.1","1.67407","38.8","chromosome:NZ_CP027021.1/CP027021.1","-","1","1637","1484/364224","2/22/2018","10/18/2019","Chromosome","2018-02-22T00:00:00Z","Vanderbilt University Medical Center","Illumina MiSeq","20.0x","Visual Genomics Analysis Studio v.","1","","1","1674070","United States","Human, Homo sapiens"
"Helicobacter pylori C-Mx-2008-31","660304","210","210.6116","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/027/775/GCF_008027775.1_ASM802777v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/027/775/GCA_008027775.1_ASM802777v1","SAMN09935058","PRJNA203445","GCA_008027775.1","1.64482","38.9877","chromosome:NZ_CP032031.1/CP032031.1; plasmid unnamed:NZ_CP032032.1/CP032032.1","-","2","1624","1458/660304","8/20/2019","8/22/2019","Chromosome","2019-08-20T00:00:00Z","University of California at Davis","PacBio RSII","360x","HGAP v. 15-May","1","1","2","1644819","Mexico","Homo sapiens"
"Helicobacter pylori C-Mx-2010-12","675775","210","210.6128","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/281/125/GCF_008281125.1_ASM828112v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/281/125/GCA_008281125.1_ASM828112v1","SAMN09935061","PRJNA203445","GCA_008281125.1","1.65825","39","chromosome:NZ_CP032024.1/CP032024.1","-","1","1613","1455/675775","8/20/2019","9/14/2019","Chromosome","2019-08-20T00:00:00Z","University of California at Davis","PacBio RSII","81x","HGAP v. 15-Apr","1","","1","1658253","Mexico","Homo sapiens"
"Helicobacter pylori C-Mx-2010-3","660303","210","210.6115","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/027/395/GCF_008027395.1_ASM802739v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/027/395/GCA_008027395.1_ASM802739v1","SAMN09935062","PRJNA203445","GCA_008027395.1","1.64234","39.1","chromosome:NZ_CP032023.1/CP032023.1","-","1","1625","1482/660303","8/20/2019","8/22/2019","Chromosome","2019-08-20T00:00:00Z","University of California at Davis","PacBio RSII","388x","HGAP v. 15-May","1","","1","1642343","Mexico","Homo sapiens"
"Helicobacter pylori C-Mx-2010-5","660302","210","210.6114","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/027/235/GCF_008027235.1_ASM802723v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/027/235/GCA_008027235.1_ASM802723v1","SAMN09935063","PRJNA203445","GCA_008027235.1","1.64584","39.1","chromosome:NZ_CP032022.1/CP032022.1","-","1","1622","1477/660302","8/20/2019","8/22/2019","Chromosome","2019-08-20T00:00:00Z","University of California at Davis","PacBio RSII","398x","HGAP v. 15-May","1","","1","1645840","Mexico","Homo sapiens"
"Helicobacter pylori C-Mx-2010-8","660301","210","210.6113","","","N/A","","-","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/026/995/GCA_008026995.1_ASM802699v1","SAMN09935059","PRJNA203445","GCA_008026995.1","1.70695","38.7827","chromosome:CP032027.1; plasmid unnamed1:CP032028.1; plasmid unnamed2:CP032029.1; plasmid unnamed3:CP032030.1","-","4","1663","1406/660301","8/20/2019","8/20/2019","Chromosome","2019-08-20T00:00:00Z","University of California at Davis","PacBio RSII","281x","HGAP v. 15-Jun","1","3","4","1706946","Mexico","Homo sapiens"
"Helicobacter pylori C-Mx-2010-97","660307","210","210.6119","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/032/735/GCF_008032735.1_ASM803273v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/032/735/GCA_008032735.1_ASM803273v1","SAMN09935055","PRJNA203445","GCA_008032735.1","1.62446","39.2","chromosome:NZ_CP032036.1/CP032036.1","-","1","1590","1380/660307","8/20/2019","8/22/2019","Chromosome","2019-08-20T00:00:00Z","University of California at Davis","PacBio RSII","209x","HGAP v. 15-Apr","1","","1","1624459","Mexico","Homo sapiens"
"Helicobacter pylori C-Mx-2011-145","660300","210","210.6112","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/026/815/GCF_008026815.1_ASM802681v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/026/815/GCA_008026815.1_ASM802681v1","SAMN09935056","PRJNA203445","GCA_008026815.1","1.69285","38.9625","chromosome:NZ_CP032034.1/CP032034.1; plasmid unnamed:NZ_CP032035.1/CP032035.1","-","2","1641","1471/660300","8/20/2019","8/22/2019","Chromosome","2019-08-20T00:00:00Z","University of California at Davis","PacBio RSII","422x","HGAP v. 15-May","1","1","2","1692846","Mexico","Homo sapiens"
"Helicobacter pylori C-Mx-2011-152","660298","210","210.6110","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/026/375/GCF_008026375.1_ASM802637v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/026/375/GCA_008026375.1_ASM802637v1","SAMN09935060","PRJNA203445","GCA_008026375.1","1.63843","38.9943","chromosome:NZ_CP032025.1/CP032025.1; plasmid unnamed:NZ_CP032026.1/CP032026.1","-","2","1623","1444/660298","8/20/2019","8/22/2019","Chromosome","2019-08-20T00:00:00Z","University of California at Davis","PacBio RSII","438x","HGAP v. 15-May","1","1","2","1638427","Mexico","Homo sapiens"
"Helicobacter pylori C-Mx-2011-171","660299","210","210.6111","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/026/615/GCF_008026615.1_ASM802661v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/026/615/GCA_008026615.1_ASM802661v1","SAMN09935057","PRJNA203445","GCA_008026615.1","1.6455","39.1","chromosome:NZ_CP032033.1/CP032033.1","-","1","1614","1434/660299","8/20/2019","8/22/2019","Chromosome","2019-08-20T00:00:00Z","University of California at Davis","PacBio RSII","474x","HGAP v. 15-May","1","","1","1645502","Mexico","Homo sapiens"
"Helicobacter pylori C-Mx-2011-69","660297","210","210.6109","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/026/175/GCF_008026175.1_ASM802617v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/026/175/GCA_008026175.1_ASM802617v1","SAMN09935064","PRJNA203445","GCA_008026175.1","1.69368","38.7497","chromosome:NZ_CP032020.1/CP032020.1; plasmid unnamed:NZ_CP032021.1/CP032021.1","-","2","1669","1477/660297","8/20/2019","8/22/2019","Chromosome","2019-08-20T00:00:00Z","University of California at Davis","PacBio RSII","599x","HGAP v. 15-Jun","1","1","2","1693680","Mexico","Homo sapiens"
"Helicobacter pylori F13","331697","210","210.2908","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/435/GCF_002357435.1_ASM235743v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/435/GCA_002357435.1_ASM235743v1","SAMD00042462","PRJDB4296","GCA_002357435.1","1.5919","39","chromosome:NZ_AP017329.1/AP017329.1","-","1","1580","1405/331697","1/17/2017","8/29/2019","Chromosome","2017-01-18T00:00:00Z","Department of Bioscience, Faculty of Applied Bioscience, Tokyo University of Agriculture","Illumina Hiseq 2000","125X","Abyss v. 1.3.4","1","","1","1591903","Japan","Human, Homo sapiens"
"Helicobacter pylori F17","331698","210","210.2909","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/455/GCF_002357455.1_ASM235745v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/455/GCA_002357455.1_ASM235745v1","SAMD00042463","PRJDB4296","GCA_002357455.1","1.57144","38.9","chromosome:NZ_AP017330.1/AP017330.1","-","1","1564","1394/331698","1/17/2017","8/29/2019","Chromosome","2017-01-18T00:00:00Z","Department of Bioscience, Faculty of Applied Bioscience, Tokyo University of Agriculture","Illumina Hiseq 2000","870X","Abyss v. 1.3.4","1","","1","1571440","Japan","Human, Homo sapiens"
"Helicobacter pylori F18","331699","210","210.2910","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/475/GCF_002357475.1_ASM235747v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/475/GCA_002357475.1_ASM235747v1","SAMD00042464","PRJDB4296","GCA_002357475.1","1.60791","39","chromosome:NZ_AP017331.1/AP017331.1","-","1","1577","1382/331699","1/17/2017","8/29/2019","Chromosome","2017-01-18T00:00:00Z","Department of Bioscience, Faculty of Applied Bioscience, Tokyo University of Agriculture","Illumina Hiseq 2000","713X","Abyss v. 1.3.4","1","","1","1607914","Japan","Human, Homo sapiens"
"Helicobacter pylori F20","331701","210","210.2912","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/515/GCF_002357515.1_ASM235751v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/515/GCA_002357515.1_ASM235751v1","SAMD00042465","PRJDB4296","GCA_002357515.1","1.57874","38.9","chromosome:NZ_AP017333.1/AP017333.1","-","1","1574","1418/331701","1/17/2017","8/29/2019","Chromosome","2017-01-18T00:00:00Z","Department of Bioscience, Faculty of Applied Bioscience, Tokyo University of Agriculture","Illumina Hiseq 2000","1434X","Abyss v. 1.3.4","1","","1","1578736","Japan","Human, Homo sapiens"
"Helicobacter pylori F209","331700","210","210.2911","","","N/A","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/495/GCF_002357495.1_ASM235749v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/495/GCA_002357495.1_ASM235749v1","SAMD00042466","PRJDB4296","GCA_002357495.1","1.5824","38.8","chromosome:NZ_AP017332.1/AP017332.1","-","1","1567","1415/331700","1/17/2017","8/29/2019","Chromosome","2017-01-18T00:00:00Z","Department of Bioscience, Faculty of Applied Bioscience, Tokyo University of Agriculture","Illumina Hiseq 2000","1125X","Abyss v. 1.3.4","1","","1","1582399","Japan","Human, Homo sapiens"
